ac_name,ac_no,party_name_1,total_valid_1,vote_share_1,party_name_2,total_valid_2,vote_share_2,party_name_3,total_valid_3,vote_share_3,party_name_4,total_valid_4,vote_share_4,party_name_5,total_valid_5,vote_share_5,party_name_6,total_valid_6,vote_share_6,party_name_7,total_valid_7,vote_share_7,party_name_8,total_valid_8,vote_share_8,party_name_9,total_valid_9,vote_share_9,party_name_10,total_valid_10,vote_share_10,party_name_11,total_valid_11,vote_share_11,party_name_12,total_valid_12,vote_share_12,party_name_13,total_valid_13,vote_share_13,party_name_14,total_valid_14,vote_share_14,party_name_15,total_valid_15,vote_share_15,party_name_16,total_valid_16,vote_share_16,party_name_17,total_valid_17,vote_share_17,party_name_18,total_valid_18,vote_share_18,party_name_19,total_valid_19,vote_share_19,party_name_20,total_valid_20,vote_share_20,party_name_21,total_valid_21,vote_share_21,party_name_22,total_valid_22,vote_share_22,party_name_23,total_valid_23,vote_share_23,party_name_24,total_valid_24,vote_share_24,party_name_25,total_valid_25,vote_share_25,party_name_26,total_valid_26,vote_share_26,party_name_27,total_valid_27,vote_share_27,party_name_28,total_valid_28,vote_share_28,party_name_29,total_valid_29,vote_share_29,party_name_30,total_valid_30,vote_share_30,party_name_31,total_valid_31,vote_share_31
Gummidipoondi,1,DMDK,97708.0,0.5439827186887582,PMK,68452.0,0.381101906288972,IND,1892.0,0.010533582754320328,BJP,1883.0,0.010483475859611615,JMM,1836.0,0.01022180652057723,IND,1462.0,0.00813958667379298,PB,1425.0,0.00793359166221272,IND,1411.0,0.007855647603776947,RPI,1228.0,0.006836807411366471,IND,997.0,0.005550730447176198,BSP,835.0,0.004648806342419384,IND,487.0,0.002711339747015856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ponneri  (SC),2,AIADMK,93624.0,0.5749623852365892,DMK,62354.0,0.38292750330088743,BSP,1347.0,0.008272177357447723,BJP,1335.0,0.008198483127091842,IND,1167.0,0.007166763902109497,PB,754.0,0.004630454140694568,IND,637.0,0.003911935394724722,IND,636.0,0.003905794208861731,IND,420.0,0.00257929806245586,IND,319.0,0.0019590382902938555,IND,242.0,0.0014861669788436148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiruttani,3,DMDK,95918.0,0.501566119527079,INC,71988.0,0.3764334307691503,JMM,9760.0,0.05103614886240633,IND,3232.0,0.016900495197059145,BSP,1859.0,0.00972092220647678,IND,1524.0,0.007969169146138037,BJP,1450.0,0.00758221473877963,PB,1296.0,0.006776931242385103,IND,1242.0,0.006494559107285724,IJK,1135.0,0.0059350439506999164,IND,710.0,0.0037126706651955427,IND,591.0,0.003090406145254318,IND,532.0,0.0027818884420901815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiruvallur,4,AIADMK,91337.0,0.5369132645563296,DMK,67689.0,0.39790141962789877,PB,2220.0,0.013049995591217705,BJP,1869.0,0.010986685477471123,RJD,1080.0,0.00634864650383564,BSP,1039.0,0.006107633071745584,IND,651.0,0.0038268230314787055,IND,496.0,0.0029156746906504423,IND,478.0,0.002809863915586515,IND,423.0,0.0024865532140022927,IND,415.0,0.002439526202862769,IND,381.0,0.0022396614055197953,IND,297.0,0.0017458777885548012,IND,261.0,0.0015342562384269465,RPI,238.0,0.0013990535814008172,IND,231.0,0.0013579049466537342,IND,227.0,0.0013343914410839726,IND,216.0,0.001269729300767128,IND,202.0,0.0011874320312729625,IND,133.0,0.0007818240601945742,IND,120.0,0.000705405167092849,IND,112.0,0.0006583781559533257,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poonmallae  (SC),5,AIADMK,99097.0,0.5458957423250024,INC,57678.0,0.31773085588687333,PB,21118.0,0.11633274757479439,IND,2022.0,0.011138593408288391,IJK,1616.0,0.008902060805041563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avadi,6,AIADMK,110102.0,0.551784622477924,INC,66864.0,0.3350940672954525,IND,10460.0,0.05242109272419289,BJP,3795.0,0.019018933736932312,BSP,1658.0,0.008309194238691376,JMM,1336.0,0.0066954665276789385,IND,1114.0,0.005582896490893965,IND,828.0,0.0041495855426034135,IND,585.0,0.002931772394230673,IND,541.0,0.002711263017570588,IND,471.0,0.0023604526456113624,LSP,416.0,0.002084815924786256,IND,391.0,0.00195952650622939,IND,290.0,0.0014533572552596497,IND,277.0,0.0013882067576100794,IND,157.0,0.0007868175485371208,IND,148.0,0.0007417133578566489,IND,105.0,0.0005262155579388387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maduravoyal,7,CPM,96844.0,0.5208766975931155,PMK,72833.0,0.3917332257630765,BJP,6381.0,0.034320290439693424,IJK,2256.0,0.012133924969745866,BSP,2040.0,0.010972166196046794,IND,1542.0,0.008293666801129487,JMM,1373.0,0.007384698130966788,IND,855.0,0.004598628479225494,IND,640.0,0.0034422482183676215,IND,393.0,0.0021137555465913674,IND,303.0,0.0016296893908834208,IND,296.0,0.0015920398009950248,IND,169.0,0.0009089686701627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambattur,8,AIADMK,99330.0,0.5330378272792157,DMK,76613.0,0.41113084729027033,BJP,3912.0,0.02099309352981266,JMM,1128.0,0.006053223287737393,BSP,962.0,0.005162412059222848,LSP,905.0,0.004856531095214841,IJK,905.0,0.004856531095214841,IND,608.0,0.00326273028275207,CPI(ML)(L),477.0,0.0025597406988038442,IND,461.0,0.0024738793755735267,IND,261.0,0.0014006128351945564,IND,201.0,0.0010786328730808654,IND,184.0,0.0009874052171486528,IND,168.0,0.0009015438939183352,IND,137.0,0.0007351875801595947,IND,95.0,0.000509801606680011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madavaram,9,AIADMK,115468.0,0.5569419992764982,DMK,80703.0,0.38925841070782585,BJP,2599.0,0.012535873628361269,IND,2135.0,0.010297841553117087,PB,1964.0,0.00947304955986977,BSP,1280.0,0.006173881586880502,JMM,978.0,0.004717231399975884,IND,872.0,0.004205956831062342,CPI(ML)(L),408.0,0.00196792475581816,IND,360.0,0.001736404196310141,IND,233.0,0.0011238393826118413,IND,193.0,0.0009309055830218257,IND,132.0,0.0006366815386470517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiruvottiyur,10,AIADMK,93944.0,0.5703392505888923,DMK,66653.0,0.40465407124990893,BJP,1719.0,0.010436144636829452,IND,649.0,0.003940115107214842,BSP,464.0,0.002816969814711382,JMM,343.0,0.0020823720828577674,IND,252.0,0.0015299060200587677,PB,197.0,0.0011959979601253066,IND,172.0,0.0010442215692464606,IND,164.0,0.00099565312416523,IND,159.0,0.0009652978459894606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
