ac_name,ac_no,party_name_1,total_valid_1,vote_share_1,party_name_2,total_valid_2,vote_share_2,party_name_3,total_valid_3,vote_share_3,party_name_4,total_valid_4,vote_share_4,party_name_5,total_valid_5,vote_share_5,party_name_6,total_valid_6,vote_share_6,party_name_7,total_valid_7,vote_share_7,party_name_8,total_valid_8,vote_share_8,party_name_9,total_valid_9,vote_share_9,party_name_10,total_valid_10,vote_share_10,party_name_11,total_valid_11,vote_share_11,party_name_12,total_valid_12,vote_share_12,party_name_13,total_valid_13,vote_share_13,party_name_14,total_valid_14,vote_share_14,party_name_15,total_valid_15,vote_share_15,party_name_16,total_valid_16,vote_share_16,party_name_17,total_valid_17,vote_share_17,party_name_18,total_valid_18,vote_share_18,party_name_19,total_valid_19,vote_share_19,party_name_20,total_valid_20,vote_share_20,party_name_21,total_valid_21,vote_share_21,party_name_22,total_valid_22,vote_share_22,party_name_23,total_valid_23,vote_share_23,party_name_24,total_valid_24,vote_share_24,party_name_25,total_valid_25,vote_share_25,party_name_26,total_valid_26,vote_share_26,party_name_27,total_valid_27,vote_share_27,party_name_28,total_valid_28,vote_share_28,party_name_29,total_valid_29,vote_share_29,party_name_30,total_valid_30,vote_share_30,party_name_31,total_valid_31,vote_share_31,party_name_32,total_valid_32,vote_share_32,party_name_33,total_valid_33,vote_share_33,party_name_34,total_valid_34,vote_share_34,party_name_35,total_valid_35,vote_share_35,party_name_36,total_valid_36,vote_share_36,party_name_37,total_valid_37,vote_share_37,party_name_38,total_valid_38,vote_share_38,party_name_39,total_valid_39,vote_share_39,party_name_40,total_valid_40,vote_share_40,party_name_41,total_valid_41,vote_share_41,party_name_42,total_valid_42,vote_share_42,party_name_43,total_valid_43,vote_share_43,party_name_44,total_valid_44,vote_share_44,party_name_45,total_valid_45,vote_share_45,party_name_46,total_valid_46,vote_share_46
Gummidipoondi,1,ADMK,89332.0,0.4167615279825331,DMK,65937.0,0.30761658611230336,PMK,43055.0,0.200864948588277,DMDK,6585.0,0.03072107040886782,BJP,2092.0,0.009759829809468714,NOTA,1484.0,0.006923320954709164,BSP,1282.0,0.005980928210200235,NTK,1250.0,0.005831638270476048,IND,875.0,0.004082146789333234,YSP,645.0,0.003009125347565641,IND,554.0,0.0025845820814749845,IND,550.0,0.002565920839009461,IND,231.0,0.0010776867523839737,IND,164.0,0.0007651109410864575,IND,163.0,0.0007604456304700766,GOKMK,149.0,0.000695131281840745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ponneri,2,ADMK,95979.0,0.4856057233060795,DMK,76643.0,0.38777523678458675,PMK,9586.0,0.0485003642839796,VCK,5566.0,0.028161175422974177,NOTA,2284.0,0.011555897352869748,BJP,2067.0,0.01045798591435279,NTK,1620.0,0.008196389541002186,BSP,1152.0,0.005828543673601554,YSP,696.0,0.003521411802800939,IND,640.0,0.00323807981866753,IND,536.0,0.0027118918481340566,IND,383.0,0.00193778839148385,IND,213.0,0.0010776734396502874,IND,181.0,0.0009157694487169108,IND,102.0,0.0005160689711001376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiruttani,3,ADMK,93045.0,0.4183508760886475,INC,69904.0,0.31430382763287457,PMK,29596.0,0.13307015453511323,DMDK,15648.0,0.07035686505492134,BJP,5525.0,0.02484162061787068,NOTA,2076.0,0.009334154643022539,BSP,1445.0,0.006497039238520024,NTK,1077.0,0.004842429937637416,IND,875.0,0.003934193310522506,IND,748.0,0.0033631732528809537,IND,723.0,0.0032507677297231676,IND,643.0,0.002891070055618253,IND,359.0,0.0016141433125458052,IND,346.0,0.0015556924405037565,IND,247.0,0.0011105665687989245,IND,152.0,0.0006834255807993382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiruvallur,4,DMK,80473.0,0.3901834720040341,ADMK,75335.0,0.36527123213281354,PMK,31935.0,0.15484086809798103,VCK,7006.0,0.033969473051337254,BSP,2171.0,0.010526366827641047,BJP,1826.0,0.00885359089234111,NTK,1451.0,0.007035356180058572,NOTA,1418.0,0.006875351525377708,IND,796.0,0.003859506215938403,VBMP,703.0,0.0034085840072923335,IND,572.0,0.0027734140144682995,IND,418.0,0.0020267256259576035,LJP,417.0,0.0020218770000581835,IND,415.0,0.002012179748259343,IND,289.0,0.00140125288493241,IND,202.0,0.000979422431682861,VTIP,172.0,0.0008339636547002579,IND,149.0,0.0007224452590135956,IND,138.0,0.0006691103741199744,IND,128.0,0.0006206241151257733,IND,125.0,0.000606078237427513,IND,105.0,0.000509105719439111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poonamallee,5,ADMK,103952.0,0.4331567959931163,DMK,92189.0,0.3841416410055545,PMK,15827.0,0.06594940559280295,MDMK,15051.0,0.06271589711109352,BJP,3456.0,0.014400780042252289,NOTA,3265.0,0.013604903598944942,NTK,2562.0,0.01067557826048911,BSP,2066.0,0.008608799643314013,IND,391.0,0.0016292549179747237,SHS,351.0,0.001462579223041248,IND,312.0,0.0013000704204811093,IND,177.0,0.0007375399500806294,IND,151.0,0.0006292007483738703,IND,121.0,0.0005041939771737636,IND,116.0,0.0004833595153070791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avadi,6,ADMK,108064.0,0.39915488379652203,DMK,106669.0,0.3940021866643027,MDMK,22848.0,0.08439342227738132,PMK,12428.0,0.045905175598008365,BJP,7232.0,0.026712763914129103,NOTA,4994.0,0.018446286364375102,NTK,4301.0,0.015886559401917764,BSP,1477.0,0.005455579687661599,IND,452.0,0.001669547744633069,IND,402.0,0.001484863259607287,IND,386.0,0.0014257642243990366,IND,193.0,0.0007128821121995183,IND,188.0,0.0006944136636969401,IND,173.0,0.0006390083181892056,IND,148.0,0.0005466660756763146,VBMP,138.0,0.0005097291786711582,IND,136.0,0.0005023417992701269,IND,115.0,0.00042477431555929847,IND,110.0,0.0004063058670567203,IND,103.0,0.0003804500391531108,IND,89.0,0.0003287383833458919,SAP,86.0,0.00031765731424434495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maduravoyal,7,ADMK,99739.0,0.4012075769216845,INC,91337.0,0.36740990438339965,CPM,19612.0,0.07889073480371847,PMK,17328.0,0.06970317421368721,NOTA,6655.0,0.026770234556330125,NTK,6181.0,0.0248635341536704,IJK,4582.0,0.018431437225710688,BSP,807.0,0.0032462177741485214,YSP,549.0,0.002208393504346392,IND,503.0,0.002023355068645237,IND,430.0,0.0017297071163368827,KMDK,274.0,0.0011021854648286182,IND,269.0,0.0010820725913828406,IND,173.0,0.0006959054212239085,IND,158.0,0.0006355668008865754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambattur,8,ADMK,94375.0,0.41098366081382387,INC,76877.0,0.3347834796544036,PMK,16635.0,0.07244199414715718,DMDK,16631.0,0.07242457497212931,BJP,9563.0,0.04164489269788183,NOTA,5603.0,0.024399909420289856,NTK,5044.0,0.021965579710144928,YSP,553.0,0.0024082009476031215,NCP,479.0,0.002085946209587514,BSP,456.0,0.0019857859531772575,IND,418.0,0.001820303790412486,CPI(ML)(L),403.0,0.001754981884057971,IND,385.0,0.001676595596432553,IND,339.0,0.0014762750836120402,IND,267.0,0.001162729933110368,IND,234.0,0.0010190217391304348,IND,166.0,0.0007228957636566332,IND,128.0,0.0005574136008918618,IND,119.0,0.0005182204570791527,IND,117.0,0.0005095108695652174,IND,116.0,0.0005051560758082497,IND,115.0,0.000500801282051282,VTK,112.0,0.00048773690078037906,IND,109.0,0.000474672519509476,IND,106.0,0.000461608138238573,IND,100.0,0.000435479375696767,PPIS,99.0,0.0004311245819397993,IND,83.0,0.0003614478818283166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madavaram,9,DMK,122082.0,0.4543126995586451,ADMK,106829.0,0.3975505920704977,PMK,14245.0,0.053010963165846726,CPI,9383.0,0.03491764600808282,BJP,5161.0,0.019206007785113017,NOTA,4291.0,0.015968412983127293,NTK,3697.0,0.013757917221771523,BSP,829.0,0.003085018495225478,YSP,573.0,0.0021323469213078393,CPI(ML)(L),393.0,0.0014624997208969998,IND,312.0,0.001161068480712122,FIP,303.0,0.00112757612069158,IND,256.0,0.0009526715739176386,IND,132.0,0.0004912212803012824,IND,123.0,0.0004577289202807404,IND,109.0,0.00040562969358211954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiruvottiyur,10,DMK,82205.0,0.4325190333629729,ADMK,77342.0,0.40693251114115997,DMDK,13463.0,0.07083515292458736,PMK,4025.0,0.02117741146263568,NTK,3961.0,0.020840677466708056,BJP,3313.0,0.01743124575794087,NOTA,2917.0,0.015347704158138702,IND,511.0,0.0026886104987346167,SHS,425.0,0.002236124191706873,IND,299.0,0.0015731791372243648,GOKMK,252.0,0.0013258901089650164,IND,196.0,0.0010312478625283462,IND,190.0,0.0009996790504101314,IND,166.0,0.0008734038019372728,IND,159.0,0.0008365735211326889,IND,138.0,0.0007260826787189376,IND,104.0,0.0005471927433823877,VTIP,100.0,0.0005261468686369113,IND,87.0,0.00045774777571411284,IND,79.0,0.0004156560262231599,IND,65.0,0.00034199546461399235,PPIS,64.0,0.0003367339959276232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr.Radhakrishnan Nagar,11,ADMK,97218.0,0.5586759762089475,DMK,57673.0,0.33142545182886535,VCK,4195.0,0.02410711720254001,PMK,3011.0,0.017303106054075798,BJP,2928.0,0.016826135677958796,NOTA,2873.0,0.016510070970893315,NTK,2513.0,0.01444128379737379,BSP,327.0,0.0018791483492802345,IND,230.0,0.0013217251386374738,IND,206.0,0.0011838059937361721,IND,204.0,0.0011723127316610638,IND,189.0,0.0010861132660977503,IND,177.0,0.0010171536936470994,SHS,162.0,0.0009309542280837859,SUCI,132.0,0.0007585552969571589,RPI(A),125.0,0.0007183288796942792,IND,119.0,0.0006838490934689539,IND,104.0,0.0005976496279056404,IND,100.0,0.0005746631037554234,IND,99.0,0.0005689164727178691,IND,98.0,0.0005631698416803149,IND,82.0,0.0004712237450794472,IND,81.0,0.00046547711404189296,IND,80.0,0.0004597304830043387,IND,73.0,0.00041950406574145906,IND,73.0,0.00041950406574145906,IND,72.0,0.0004137574347039048,PPIS,68.0,0.0003907709105536879,IND,63.0,0.00036203775536591674,IND,63.0,0.00036203775536591674,IND,61.0,0.00035054449329080826,IND,57.0,0.0003275579691405913,IND,57.0,0.0003275579691405913,AUK,55.0,0.00031606470706548284,JJ,52.0,0.0002988248139528202,IND,48.0,0.00027583828980260323,IND,48.0,0.00027583828980260323,MKAT,42.0,0.00024135850357727783,VTIP,42.0,0.00024135850357727783,IND,37.0,0.00021262534838950665,IND,35.0,0.00020113208631439817,IND,35.0,0.00020113208631439817,IND,31.0,0.00017814556216418125,IND,29.0,0.00016665230008907278,IND,28.0,0.00016090566905151854,IND,20.0,0.00011493262075108468
Perambur,12,ADMK,79974.0,0.4238582581181995,DMK,79455.0,0.4211075836994716,CPM,10281.0,0.054488793254222734,BJP,4582.0,0.024284374155320355,PMK,3685.0,0.019530318368039177,NTK,3236.0,0.01715064049904336,NOTA,3167.0,0.01678494390002173,YSP,387.0,0.002051080924947398,BSP,363.0,0.0019238821078963965,IND,319.0,0.0016906842766362272,IND,304.0,0.0016111850159793513,IND,249.0,0.0013196877269041397,IND,248.0,0.0013143877761936814,SHS,230.0,0.0012189886634054303,IND,215.0,0.0011394894027485544,IND,212.0,0.0011235895506171792,IND,163.0,0.000863891965804718,IND,161.0,0.0008532920643838012,IND,158.0,0.0008373922122524261,IND,158.0,0.0008373922122524261,IND,121.0,0.0006412940359654656,IND,118.0,0.0006253941838340903,IND,115.0,0.0006094943317027151,MKAT,100.0,0.0005299950710458393,IND,100.0,0.0005299950710458393,IND,83.0,0.0004398959089680466,IND,80.0,0.00042399605683667143,IND,75.0,0.00039749630328437944,AIWUP,72.0,0.0003815964511530043,IND,64.0,0.0003391968454693371,IND,55.0,0.0002914972890752116,LJP,54.0,0.00028619733836475323,IND,51.0,0.000270297486233378,IND,46.0,0.00024379773268108607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
