AC No.,Constituency Name,Vote,Alliance
1,Gummidipoondi,89332.0,AIADMK+
2,Ponneri,95979.0,AIADMK+
3,Tiruttani,93045.0,AIADMK+
4,Thiruvallur,80473.0,DMK
5,Poonamallee,103952.0,AIADMK+
6,Avadi,108064.0,AIADMK+
7,Maduravoyal,99739.0,AIADMK+
8,Ambattur,94375.0,AIADMK+
9,Madavaram,122082.0,DMK
10,Thiruvottiyur,82205.0,DMK
11,Dr.Radhakrishnan Nagar,97218.0,AIADMK+
12,Perambur,79974.0,AIADMK+
13,Kolathur,91303.0,DMK
14,Villivakkam,65972.0,DMK
15,Thiru-Vi-Ka-Nagar,61744.0,DMK
16,Egmore,55060.0,DMK
17,Royapuram,55205.0,AIADMK+
18,Harbour,42071.0,DMK
19,Chepauk-Thiruvallikeni,67982.0,DMK
20,Thousand Lights,61726.0,DMK
21,Anna Nagar,72207.0,DMK
22,Virugampakkam,65979.0,AIADMK+
23,Saidapet,79279.0,DMK
24,Thiyagarayanagar,53207.0,AIADMK+
25,Mylapore,68176.0,AIADMK+
26,Velachery,70139.0,DMK
27,Shozhinganallur,147014.0,DMK
28,Alandur,96877.0,DMK
29,Sriperumbudur,101001.0,AIADMK+
30,Pallavaram,112891.0,DMK
31,Tambaram,101835.0,DMK
32,Chengalpattu,112675.0,DMK
33,Thiruporur,70215.0,AIADMK+
34,Cheyyur,63446.0,DMK
35,Madurantakam,73693.0,DMK
36,Uthiramerur,85513.0,DMK
37,Kancheepuram,90533.0,DMK
38,Arakkonam,68176.0,AIADMK+
39,Sholingur,77651.0,AIADMK+
40,Katpadi,90534.0,DMK
41,Ranipet,81724.0,DMK
42,Arcot,84182.0,DMK
43,Vellore,88264.0,DMK
44,Anaikattu,77058.0,DMK
45,Kilvaithinankuppam,75612.0,AIADMK+
46,Gudiyattam,94689.0,AIADMK+
47,Vaniyambadi,69588.0,AIADMK+
48,Ambur,79182.0,AIADMK+
49,Jolarpet,82525.0,AIADMK+
50,Tirupattur,80791.0,DMK
51,Uthangarai,69980.0,AIADMK+
52,Bargur,80650.0,AIADMK+
53,Krishnagiri,87637.0,DMK
54,Veppanahalli,88952.0,DMK
55,Hosur,89510.0,AIADMK+
56,Thalli,74429.0,DMK
57,Palacode,76143.0,AIADMK+
58,Pennagaram,76848.0,DMK
