,District No,District Name,AC No,AC Name,TotalCrime,CrimeRate,NationalRate,ComparetoNation
0,1,TIRUVALLUR,1,Gummidipoondi,4003,107.37,218.67,better
1,1,TIRUVALLUR,2,Ponneri,4003,107.37,218.67,better
2,1,TIRUVALLUR,3,Tiruttani,4003,107.37,218.67,better
3,1,TIRUVALLUR,4,Thiruvallur,4003,107.37,218.67,better
4,1,TIRUVALLUR,5,Poonmallae,4003,107.37,218.67,better
5,1,TIRUVALLUR,6,Avadi,4003,107.37,218.67,better
6,1,TIRUVALLUR,7,Maduravoyal,4003,107.37,218.67,better
7,1,TIRUVALLUR,8,Ambattur,4003,107.37,218.67,better
8,1,TIRUVALLUR,9,Madavaram,4003,107.37,218.67,better
9,1,TIRUVALLUR,10,Thiruvottiyur,4003,107.37,218.67,better
10,2,CHENNAI,11,Dr.Radhakrishnan Nagar,18345,394.79,218.67,worse
11,2,CHENNAI,12,Perambur,18345,394.79,218.67,worse
12,2,CHENNAI,13,Kolathur,18345,394.79,218.67,worse
13,2,CHENNAI,14,Villivakkam,18345,394.79,218.67,worse
14,2,CHENNAI,15,Thiru-Vi-Ka-Nagar,18345,394.79,218.67,worse
15,2,CHENNAI,16,Egmore,18345,394.79,218.67,worse
16,2,CHENNAI,17,Royapuram,18345,394.79,218.67,worse
17,2,CHENNAI,18,Harbour,18345,394.79,218.67,worse
18,2,CHENNAI,19,Chepauk-Thiruvallikeni,18345,394.79,218.67,worse
19,2,CHENNAI,20,Thousand Lights,18345,394.79,218.67,worse
20,2,CHENNAI,21,Anna Nagar,18345,394.79,218.67,worse
21,2,CHENNAI,22,Virugampakkam,18345,394.79,218.67,worse
22,2,CHENNAI,23,Saidapet,18345,394.79,218.67,worse
23,2,CHENNAI,24,Thiyagarayanagar,18345,394.79,218.67,worse
24,2,CHENNAI,25,Mylapore,18345,394.79,218.67,worse
25,2,CHENNAI,26,Velachery,18345,394.79,218.67,worse
26,3,KANCHEEPURAM,27,Shozhinganallur,7977,199.51,218.67,better
27,3,KANCHEEPURAM,28,Alandur,7977,199.51,218.67,better
28,3,KANCHEEPURAM,29,Sriperumbudur,7977,199.51,218.67,better
29,3,KANCHEEPURAM,30,Pallavaram,7977,199.51,218.67,better
30,3,KANCHEEPURAM,31,Tambaram,7977,199.51,218.67,better
31,3,KANCHEEPURAM,32,Chengalpattu,7977,199.51,218.67,better
32,3,KANCHEEPURAM,33,Thiruporur,7977,199.51,218.67,better
33,3,KANCHEEPURAM,34,Cheyyur,7977,199.51,218.67,better
34,3,KANCHEEPURAM,35,Madurantakam,7977,199.51,218.67,better
35,3,KANCHEEPURAM,36,Uthiramerur,7977,199.51,218.67,better
36,3,KANCHEEPURAM,37,Kancheepuram,7977,199.51,218.67,better
37,4,VELLORE,38,Arakkonam,9802,249.01,218.67,worse
38,4,VELLORE,39,Sholingur,9802,249.01,218.67,worse
39,4,VELLORE,40,Katpadi,9802,249.01,218.67,worse
40,4,VELLORE,41,Ranipet,9802,249.01,218.67,worse
41,4,VELLORE,42,Arcot,9802,249.01,218.67,worse
42,4,VELLORE,43,Vellore,9802,249.01,218.67,worse
43,4,VELLORE,44,Anaikattu,9802,249.01,218.67,worse
44,4,VELLORE,45,Kilvaithinankuppam,9802,249.01,218.67,worse
45,4,VELLORE,46,Gudiyattam,9802,249.01,218.67,worse
46,4,VELLORE,47,Vaniyambadi,9802,249.01,218.67,worse
47,4,VELLORE,48,Ambur,9802,249.01,218.67,worse
48,4,VELLORE,49,Jolarpet,9802,249.01,218.67,worse
49,4,VELLORE,50,Tirupattur,9802,249.01,218.67,worse
50,5,KRISHNAGIRI,51,Uthangarai,5101,271.36,218.67,worse
51,5,KRISHNAGIRI,52,Bargur,5101,271.36,218.67,worse
52,5,KRISHNAGIRI,53,Krishnagiri,5101,271.36,218.67,worse
53,5,KRISHNAGIRI,54,Veppanahalli,5101,271.36,218.67,worse
54,5,KRISHNAGIRI,55,Hosur,5101,271.36,218.67,worse
55,5,KRISHNAGIRI,56,Thalli,5101,271.36,218.67,worse
56,6,DHARMAPURI,57,Palacodu,4416,293.06,218.67,worse
57,6,DHARMAPURI,58,Pennagaram,4416,293.06,218.67,worse
58,6,DHARMAPURI,59,Dharmapuri,4416,293.06,218.67,worse
59,6,DHARMAPURI,60,Pappireddippatti,4416,293.06,218.67,worse
60,6,DHARMAPURI,61,Harur,4416,293.06,218.67,worse
61,7,TIRUVANNAMALAI,62,Chengam,4614,187.19,218.67,better
62,7,TIRUVANNAMALAI,63,Tiruvannamalai,4614,187.19,218.67,better
63,7,TIRUVANNAMALAI,64,Kilpennathur,4614,187.19,218.67,better
64,7,TIRUVANNAMALAI,65,Kalasapakkam,4614,187.19,218.67,better
65,7,TIRUVANNAMALAI,66,Polur,4614,187.19,218.67,better
66,7,TIRUVANNAMALAI,67,Arani,4614,187.19,218.67,better
67,7,TIRUVANNAMALAI,68,Cheyyar,4614,187.19,218.67,better
68,7,TIRUVANNAMALAI,69,Vandavasi,4614,187.19,218.67,better
69,8,VILLUPURAM,70,Gingee,8801,254.45,218.67,worse
70,8,VILLUPURAM,71,Mailam,8801,254.45,218.67,worse
71,8,VILLUPURAM,72,Tindivanam,8801,254.45,218.67,worse
72,8,VILLUPURAM,73,Vanur,8801,254.45,218.67,worse
73,8,VILLUPURAM,74,Villupuram,8801,254.45,218.67,worse
74,8,VILLUPURAM,75,Vikravandi,8801,254.45,218.67,worse
75,8,VILLUPURAM,76,Tirukkoyilur,8801,254.45,218.67,worse
76,8,VILLUPURAM,77,Ulundurpettai,8801,254.45,218.67,worse
77,8,VILLUPURAM,78,Rishivandiyam,8801,254.45,218.67,worse
78,8,VILLUPURAM,79,Sankarapuram,8801,254.45,218.67,worse
79,8,VILLUPURAM,80,Kallakurichi,8801,254.45,218.67,worse
80,9,SALEM,81,Gangavalli,8684,249.39,218.67,worse
81,9,SALEM,82,Attur,8684,249.39,218.67,worse
82,9,SALEM,83,Yercaud,8684,249.39,218.67,worse
83,9,SALEM,84,Omalur,8684,249.39,218.67,worse
84,9,SALEM,85,Mettur,8684,249.39,218.67,worse
85,9,SALEM,86,Edappadi,8684,249.39,218.67,worse
86,9,SALEM,87,Sankari,8684,249.39,218.67,worse
87,9,SALEM,88,Salem (West),8684,249.39,218.67,worse
88,9,SALEM,89,Salem (North),8684,249.39,218.67,worse
89,9,SALEM,90,Salem (South),8684,249.39,218.67,worse
90,9,SALEM,91,Veerapandi,8684,249.39,218.67,worse
91,10,NAMAKKAL,92,Rasipuram,4113,238.21,218.67,worse
92,10,NAMAKKAL,93,Senthamangalam,4113,238.21,218.67,worse
93,10,NAMAKKAL,94,Namakkal,4113,238.21,218.67,worse
94,10,NAMAKKAL,95,Paramathi-Velur,4113,238.21,218.67,worse
95,10,NAMAKKAL,96,Tiruchengodu,4113,238.21,218.67,worse
96,10,NAMAKKAL,97,Kumarapalayam,4113,238.21,218.67,worse
97,11,ERODE,98,Erode (East),4342,192.83,218.67,better
98,11,ERODE,99,Erode (West),4342,192.83,218.67,better
99,11,ERODE,100,Modakkurichi,4342,192.83,218.67,better
100,11,ERODE,103,Perundurai,4342,192.83,218.67,better
101,11,ERODE,104,Bhavani,4342,192.83,218.67,better
102,11,ERODE,105,Anthiyur,4342,192.83,218.67,better
103,11,ERODE,106,Gobichettipalayam,4342,192.83,218.67,better
104,11,ERODE,107,Bhavanisagar,4342,192.83,218.67,better
