,Schedule No.,Constituency_x,2020 District,2011 District,Lok Ac,Turnout [4],Winner,Party,Margin,Party_abbrv
0,1,Gummidipoondi,Tiruvallur,Thiruvallur,Thiruvallur,72.33,Dr. Jeyakumar,Indian National Congress,356955,IND
1,2,Ponneri,Tiruvallur,Thiruvallur,Thiruvallur,72.33,Dr. Jeyakumar,Indian National Congress,356955,IND
2,3,Tiruttani,Tiruvallur,Thiruvallur,Arakkonam,78.65,S. Jagathrakshakan,Dravida Munnetra Kazhagam,328956,DMK
3,4,Thiruvallur,Tiruvallur,Thiruvallur,Thiruvallur,72.33,Dr. Jeyakumar,Indian National Congress,356955,IND
4,5,Poonamallee,Tiruvallur,Thiruvallur,Thiruvallur,72.33,Dr. Jeyakumar,Indian National Congress,356955,IND
5,6,Avadi,Tiruvallur,Thiruvallur,Thiruvallur,72.33,Dr. Jeyakumar,Indian National Congress,356955,IND
6,7,Maduravoyal,Chennai,Chennai,Sriperumbudur,62.44,T R Baalu,Dravida Munnetra Kazhagam,484732,DMK
7,8,Ambattur,Chennai,Chennai,Sriperumbudur,62.44,T R Baalu,Dravida Munnetra Kazhagam,484732,DMK
8,9,Madavaram,Chennai,Chennai,Thiruvallur,72.33,Dr. Jeyakumar,Indian National Congress,356955,IND
9,10,Thiruvottiyur,Chennai,Chennai,Chennai North,64.26,Kalanidhi Veeraswamy,Dravida Munnetra Kazhagam,461518,DMK
10,11,Dr. Radhakrishnan Nagar,Chennai,Chennai,Chennai North,64.26,Kalanidhi Veeraswamy,Dravida Munnetra Kazhagam,461518,DMK
11,12,Perambur,Chennai,Chennai,Chennai North,64.26,Kalanidhi Veeraswamy,Dravida Munnetra Kazhagam,461518,DMK
12,13,Kolathur,Chennai,Chennai,Chennai North,64.26,Kalanidhi Veeraswamy,Dravida Munnetra Kazhagam,461518,DMK
13,14,Villivakkam,Chennai,Chennai,Chennai Central,58.98,Dayanidhi Maran,Dravida Munnetra Kazhagam,301520,DMK
14,15,Thiru. Vi. Ka. Nagar,Chennai,Chennai,Chennai North,64.26,Kalanidhi Veeraswamy,Dravida Munnetra Kazhagam,461518,DMK
15,16,Egmore,Chennai,Chennai,Chennai Central,58.98,Dayanidhi Maran,Dravida Munnetra Kazhagam,301520,DMK
16,17,Royapuram,Chennai,Chennai,Chennai North,64.26,Kalanidhi Veeraswamy,Dravida Munnetra Kazhagam,461518,DMK
17,18,Harbour,Chennai,Chennai,Chennai Central,58.98,Dayanidhi Maran,Dravida Munnetra Kazhagam,301520,DMK
18,19,Chepauk-Thiruvallikeni,Chennai,Chennai,Chennai Central,58.98,Dayanidhi Maran,Dravida Munnetra Kazhagam,301520,DMK
19,20,Thousand Lights,Chennai,Chennai,Chennai Central,58.98,Dayanidhi Maran,Dravida Munnetra Kazhagam,301520,DMK
20,21,Anna Nagar,Chennai,Chennai,Chennai Central,58.98,Dayanidhi Maran,Dravida Munnetra Kazhagam,301520,DMK
21,22,Virugambakkam,Chennai,Chennai,Chennai South,57.07,Thamizhachi Thangapandian,Dravida Munnetra Kazhagam,262223,DMK
22,23,Saidapet,Chennai,Chennai,Chennai South,57.07,Thamizhachi Thangapandian,Dravida Munnetra Kazhagam,262223,DMK
