,AIADMK+,DMK,Others
0,ADMK,DMK,"['Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others', 'Others']"
0,299,159,50
1,293,164,45
2,414,278,23
3,402,306,25
4,489,362,25
5,457,396,38
6,548,421,42
7,443,301,14
8,303,212,17
9,341,207,24
10,410,252,48
11,410,265,28
12,502,304,14
13,476,322,51
14,378,300,57
15,470,337,36
16,445,338,33
17,391,241,22
18,381,291,35
19,401,264,34
20,529,406,27
21,507,282,19
22,494,257,47
23,413,232,19
24,414,217,40
25,434,216,33
26,438,203,26
27,538,242,42
28,492,277,41
29,431,273,46
30,483,277,25
31,476,262,38
32,426,498,20
33,388,545,35
34,509,244,37
35,459,218,37
36,582,245,33
37,573,246,33
38,474,221,55
39,371,196,30
40,370,258,25
41,329,248,35
42,485,269,33
43,470,287,27
44,379,346,34
45,328,282,23
46,251,172,10
47,290,201,23
48,281,236,20
49,471,287,45
50,442,269,67
51,447,286,23
52,446,280,24
53,367,281,23
54,387,260,28
55,494,386,29
56,460,358,28
57,512,321,34
58,505,326,29
59,431,393,34
60,457,377,27
61,401,363,24
62,364,251,47
63,328,246,25
64,379,384,36
65,351,391,47
66,347,288,23
67,363,301,21
68,388,556,19
69,309,596,41
70,405,541,23
71,401,303,28
72,328,312,28
73,421,337,26
74,411,420,39
75,410,275,56
76,361,274,41
77,442,300,41
78,439,337,28
79,390,339,44
80,326,319,31
81,275,250,22
82,254,231,32
83,484,466,38
84,440,396,23
85,416,458,43
86,347,319,23
87,320,385,23
88,282,160,13
89,274,219,19
90,329,201,20
91,311,254,17
92,480,416,22
93,439,416,25
94,503,397,31
95,457,353,40
96,395,352,42
97,503,324,25
98,462,347,35
99,402,410,21
100,386,432,46
101,415,190,50
102,432,180,62
103,544,436,27
104,579,417,28
105,561,333,23
106,344,298,31
107,528,314,12
108,436,388,36
109,290,254,12
110,280,327,28
111,311,291,17
112,253,343,18
113,345,296,19
114,259,252,11
115,235,328,17
116,418,183,75
117,400,183,95
118,413,298,16
119,378,321,22
120,137,168,12
121,342,401,39
122,291,359,33
123,328,366,31
124,286,403,26
125,330,267,34
126,298,301,41
127,286,271,34
128,258,273,36
129,390,273,35
130,366,279,54
131,413,390,17
132,343,464,27
133,317,291,39
134,268,300,32
135,239,323,13
136,188,410,25
137,240,164,15
138,250,254,18
139,253,397,24
140,199,477,25
141,516,314,31
142,535,351,48
143,266,454,21
144,232,486,25
145,431,342,38
146,261,273,14
147,233,271,32
148,396,544,20
149,388,640,19
150,304,405,19
151,310,439,23
152,243,526,21
153,322,222,43
154,445,314,51
155,427,343,42
156,304,364,26
157,256,402,39
158,193,193,18
159,337,285,27
160,289,285,40
161,432,409,21
162,418,406,23
163,480,370,25
164,442,382,45
165,367,345,14
166,303,355,20
167,445,330,27
168,315,267,19
169,255,248,19
170,380,257,21
171,325,252,23
172,403,339,63
173,338,316,55
174,284,299,13
175,216,322,38
176,403,494,19
177,349,494,32
178,350,390,47
179,393,393,24
180,367,401,38
181,317,273,68
182,255,267,73
183,398,387,12
184,367,390,39
185,185,536,28
186,532,364,17
187,445,396,27
188,330,348,20
189,318,405,29
190,456,327,33
191,454,324,39
192,368,221,42
193,444,436,49
194,367,292,31
195,350,320,33
196,467,495,43
197,403,297,56
198,374,279,52
199,324,310,64
200,500,307,28
201,516,333,41
202,382,373,29
203,621,446,33
204,442,300,21
205,463,286,39
206,383,309,18
207,363,310,30
Total,79829,67635,6579
