,AIADMK+,DMK,PWF,NDA,PMK,NTK,Others
0,,INC,DMDK,,,,"['BHARATHIYA JANATA PARTY', 'BAHUJAN SAMAJ PARTY', 'INDIAN NATIONAL CONGRESS', 'DESIYA MURPOKKU DRAVIDA KAZHAGAM', 'RASHTRIYA JANATHA DAL', 'INDIA JANANAYAGA KATCHI', 'INDEPENDENT']"
0,0,133,279,0,0,0,86
1,0,288,276,0,0,0,132
2,0,457,349,0,0,0,151
3,0,309,300,0,0,0,105
4,0,194,236,0,0,0,60
5,0,303,308,0,0,0,113
6,0,190,323,0,0,0,112
7,0,182,239,0,0,0,68
8,0,164,407,0,0,0,86
9,0,224,208,0,0,0,43
10,0,206,182,0,0,0,64
11,0,382,346,0,0,0,56
12,0,393,334,0,0,0,102
13,0,203,172,0,0,0,37
14,0,193,167,0,0,0,43
15,0,200,196,0,0,0,42
16,0,210,165,0,0,0,68
17,0,309,163,0,0,0,116
18,0,231,356,0,0,0,86
19,0,271,239,0,0,0,83
20,0,355,388,0,0,0,197
21,0,164,235,0,0,0,91
22,0,226,251,0,0,0,79
23,0,250,279,0,0,0,88
24,0,229,360,0,0,0,72
25,0,213,303,0,0,0,89
26,0,246,307,0,0,0,102
27,0,278,281,0,0,0,69
28,0,364,375,0,0,0,145
29,0,153,217,0,0,0,61
30,0,285,287,0,0,0,77
31,0,246,223,0,0,0,73
32,0,208,213,0,0,0,51
33,0,193,190,0,0,0,35
34,0,176,197,0,0,0,71
35,0,217,397,0,0,0,94
36,0,212,267,0,0,0,70
37,0,171,324,0,0,0,118
38,0,243,332,0,0,0,101
39,0,205,270,0,0,0,60
40,0,285,329,0,0,0,70
41,0,278,299,0,0,0,89
42,0,297,264,0,0,0,147
43,0,251,225,0,0,0,76
44,0,225,148,0,0,0,71
45,0,384,335,0,0,0,116
46,0,303,309,0,0,0,81
47,0,182,236,0,0,0,51
48,0,367,189,0,0,0,69
49,0,306,347,0,0,0,111
50,0,396,345,0,0,0,93
51,0,389,313,0,0,0,120
52,0,215,279,0,0,0,114
53,0,326,169,0,0,0,90
54,0,298,252,0,0,0,36
55,0,307,442,0,0,0,117
56,0,379,283,0,0,0,72
57,0,406,380,0,0,0,105
58,0,309,385,0,0,0,171
59,0,305,280,0,0,0,83
60,0,249,341,0,0,0,46
61,0,399,320,0,0,0,137
62,0,261,211,0,0,0,68
63,0,179,354,0,0,0,74
64,0,253,187,0,0,0,68
65,0,227,217,0,0,0,43
66,0,339,382,0,0,0,162
67,0,312,250,0,0,0,70
68,0,386,215,0,0,0,49
69,0,234,283,0,0,0,86
70,0,220,266,0,0,0,87
71,0,188,223,0,0,0,78
72,0,202,295,0,0,0,63
73,0,268,181,0,0,0,80
74,0,297,225,0,0,0,43
75,0,226,248,0,0,0,82
76,0,303,355,0,0,0,81
77,0,216,241,0,0,0,31
78,0,236,205,0,0,0,31
79,0,444,407,0,0,0,137
80,0,353,440,0,0,0,170
81,0,229,288,0,0,0,55
82,0,260,197,0,0,0,43
83,0,349,392,0,0,0,116
84,0,328,391,0,0,0,101
85,0,364,444,0,0,0,114
86,0,200,217,0,0,0,91
87,0,142,264,0,0,0,76
88,0,342,493,0,0,0,112
89,0,401,344,0,0,0,72
90,0,415,280,0,0,0,91
91,0,312,285,0,0,0,73
92,0,305,235,0,0,0,90
93,0,279,287,0,0,0,72
94,0,232,318,0,0,0,80
95,0,305,317,0,0,0,87
96,0,217,377,0,0,0,174
97,0,213,337,0,0,0,85
98,0,161,223,0,0,0,98
99,0,437,336,0,0,0,138
100,0,311,310,0,0,0,112
101,0,412,413,0,0,0,107
102,0,419,431,0,0,0,137
103,0,338,387,0,0,0,101
104,0,386,448,0,0,0,88
105,0,229,149,0,0,0,40
106,0,373,235,0,0,0,94
107,0,392,290,0,0,0,68
108,0,207,241,0,0,0,52
109,0,214,205,0,0,0,84
110,0,199,208,0,0,0,76
111,0,201,270,0,0,0,91
112,0,181,209,0,0,0,66
113,0,273,406,0,0,0,122
114,0,234,310,0,0,0,112
115,0,175,208,0,0,0,68
116,0,290,290,0,0,0,58
117,0,299,271,0,0,0,66
118,0,253,132,0,0,0,69
119,0,241,250,0,0,0,62
120,0,146,231,0,0,0,58
121,0,481,255,0,0,0,105
122,0,293,224,0,0,0,41
123,0,429,268,0,0,0,84
124,0,224,173,0,0,0,57
