ac_name,ac_no,ADMK,DMK,INC,DMDK,PMK,CPM,BJP,CPI,VCK,KNMK,IJK,BSP
Gummidipoondi,1,0,0,0,0.5439827186887582,0.381101906288972,0,0.010483475859611615,0,0,0,0,0.004648806342419384
Ponneri  (SC),2,0.5749623852365892,0.38292750330088743,0,0,0,0,0.008198483127091842,0,0,0,0,0.008272177357447723
Tiruttani,3,0,0,0.3764334307691503,0.501566119527079,0,0,0.00758221473877963,0,0,0,0.0059350439506999164,0.00972092220647678
Thiruvallur,4,0.5369132645563296,0.39790141962789877,0,0,0,0,0.010986685477471123,0,0,0,0,0.006107633071745584
Poonmallae  (SC),5,0.5458957423250024,0,0.31773085588687333,0,0,0,0,0,0,0,0.008902060805041563,0
Avadi,6,0.551784622477924,0,0.3350940672954525,0,0,0,0.019018933736932312,0,0,0,0,0.008309194238691376
Maduravoyal,7,0,0,0,0,0.3917332257630765,0.5208766975931155,0.034320290439693424,0,0,0,0.012133924969745866,0.010972166196046794
Ambattur,8,0.5330378272792157,0.41113084729027033,0,0,0,0,0.02099309352981266,0.0025597406988038442,0,0,0.004856531095214841,0.005162412059222848
Madavaram,9,0.5569419992764982,0.38925841070782585,0,0,0,0,0.012535873628361269,0.00196792475581816,0,0,0,0.006173881586880502
Thiruvottiyur,10,0.5703392505888923,0.40465407124990893,0,0,0,0,0.010436144636829452,0,0,0,0,0.002816969814711382
Dr.Radhakrishnan Nagar,11,0.590378002029541,0.37012346375014094,0,0,0,0,0.009161123012741008,0,0,0,0.004777878002029541,0.001775848460931334
Perambur,12,0,0.41502598348413217,0,0,0,0.5225581079579821,0.017021959438608618,0,0,0,0.004647402268771679,0.005628726253811117
Kolathur,13,0.464295772664545,0.48354549807080294,0,0,0,0,0,0,0,0,0.002006646576731349,0.028191624186780073
Villivakkam,14,0.5244443085578011,0.442030757941725,0,0,0,0,0.014140703824869294,0,0,0,0,0.004035833307854588
Thiru-Vi-Ka-Nagar  (SC),15,0.588714693030281,0,0.3517248620837271,0,0,0,0.02876250938961448,0,0,0,0.006106278320288837,0.005088565266907364
Egmore  (SC),16,0,0.4604628736740598,0,0.4622665095181971,0,0,0.04384978034929819,0,0,0,0.010107503839422837,0.005973427622415086
Royapuram,17,0.5788584487066628,0,0.38881923511261685,0,0,0,0.014965187931816363,0,0,0,0,0.0020896132881621184
harbour,18,0.5589012697590049,0.3483078517750713,0,0,0,0,0.04833376522415134,0,0,0,0.0030163254729204457,0
Chepauk-Thiruvallikeni,19,0,0.4944006284851659,0,0,0,0,0.041390677470039126,0,0,0,0,0.006885609538186635
Thousand Lights,20,0.505529060321786,0.44868867310039157,0,0,0,0,0.023194351898298233,0,0,0,0.006356360478261846,0.00238831447887577
Anna Nagar,21,0.5867368476597541,0,0.3453907445517387,0,0,0,0.024860165690464883,0,0,0,0.0047622816737903015,0.004049918210120838
Virugampakkam,22,0,0.39862843498601364,0,0.49645655900991886,0,0,0.05223191665104915,0,0,0,0,0.006725943818586927
Saidapet,23,0.5177889447236181,0.43952018155292594,0,0,0,0,0.019568811800940184,0,0,0,0,0.0031188199059815204
Thiyagarayanagar,24,0.5848355696680565,0,0.334648673227952,0,0,0,0.03525984385476798,0,0,0,0.007383372767839939,0.004524049910983345
Mylapore,25,0.5603435002309598,0,0.35595106451477443,0,0,0,0.048368583866407244,0,0,0,0,0
Velachery,26,0.5391365414402353,0,0,0,0.3309508807854874,0,0.04625764616313565,0,0,0,0.0067995064450920165,0.0043186054448557405
Shozhinganallur,27,0.6043028809184356,0,0,0,0,0,0.030239044321502352,0,0.3259290972346342,0,0.006924845063865693,0.00824247764804662
Alandur,28,0,0,0.4209890861510096,0.45521158592797456,0,0,0.05726350849020133,0,0,0,0.007523716061498201,0.005638326344901418
 Sriperumbudur  (SC),29,0.5906724020828616,0,0.3530589853886209,0,0,0,0.012028119793571457,0.002351056233782066,0,0,0.002908343637345222,0.003854571207978498
Pallavaram,30,0.5269561747025517,0.4402833553665411,0,0,0,0,0,0,0,0,0.005248060661993964,0.005357810980020454
Tambaram,31,0.5145149525893509,0.43605453627335466,0,0,0,0,0.017174437524546934,0,0,0,0.005358244964371879,0.00228917690624474
Chengalpattu,32,0,0,0,0.4457555373607967,0.4441982800601497,0,0.0217962508093992,0,0,0,0.017472319885265993,0.006245083401563679
Thiruporur,33,0.5305694060098715,0,0,0,0.4152888003580456,0,0.009953416246950625,0,0,0,0,0.005087021476433916
 Cheyyur  (SC),34,0.5558773629774758,0,0,0,0,0,0.00984588737213479,0,0.3671657047937475,0,0.007311653924512497,0.00880947817506797
Madurantakam  (SC),35,0.5364414121724064,0,0.4112654320987654,0,0,0,0.01103259692440979,0,0,0,0.0034383799003682046,0.005306476066709985
Uthiramerur,36,0.5174996725137841,0.4355328498445929,0,0,0,0,0.008377692829838163,0,0,0,0.00127421909423267,0.004781298750788944
Kancheepuram,37,0.5342939631180587,0,0,0,0.4005149946679845,0,0.012697999843941009,0,0,0,0.0062475615782765885,0.004676567742606706
Arakkonam  (SC),38,0.5593798209342133,0,0,0,0,0,0,0,0.37455885149937657,0,0.0123627244486084,0.014299903493262139
Sholingur,39,0,0,0.20588972640516104,0.3897681881236107,0,0,0,0,0,0,0,0.005994462364692839
Katpadi,40,0.47585446672563336,0.4954784881648603,0,0,0,0,0.010158549947854097,0,0,0,0.003425787799178867,0
Ranipet,41,0.5314391850344534,0.44141642736245557,0,0,0,0,0,0,0,0,0,0.005337593265250493
Arcot,42,0.5310517624281077,0,0,0,0.4214167758100336,0,0.011650817151642845,0,0,0,0,0.0028301349581458914
Vellore,43,0.5081853062384539,0,0.4003552650277107,0,0,0,0.03079437260196106,0,0,0,0,0
Anaikattu,44,0,0,0,0.3555172085818715,0.5450833593760616,0,0,0,0,0,0.009300650841746267,0.006916042773482615
Kilvaithinankuppam  (SC),45,0.5112035669658072,0.4419090082926275,0,0,0,0,0,0,0,0,0.007887935930932637,0.008704418948085879
Gudiyattam  (SC),46,0,0.4546291547459418,0,0,0,0,0,0.49072809624736613,0,0,0.010424326311691682,0.008249244591646944
Vaniyambadi,47,0.5465418405074455,0.42290288660493197,0,0,0,0,0,0,0,0,0,0.007794850920932126
Ambur,48,0,0,0.40299236596694105,0,0,0,0.044090733435898186,0,0,0,0.007830899240971499,0.010703687230676126
Jolarpet,49,0.5512616532801707,0,0,0,0.4047066791905483,0,0,0,0,0,0,0.006108587165577216
Tirupattur,50,0.5531163883124596,0.4077093995422669,0,0,0,0,0.007253000954166639,0,0,0,0.004937645543774897,0.0036231642300942825
Uthangarai  (SC),51,0.5892197065016852,0,0,0,0,0,0.016617663357041807,0,0.3339374539575334,0,0,0
Bargur,52,0.5601750408870759,0,0,0,0.37427303094788555,0,0.014611999014921415,0,0,0,0,0
Krishnagiri,53,0.559774035253992,0,0.3783475392663628,0,0,0,0.01886157165214897,0,0,0,0,0
Veppanahalli,54,0,0.4509097562206632,0,0.4029362035027507,0,0,0.03176575985464089,0,0,0,0,0.017236158078029577
Hosur,55,0,0,0.3778717766957573,0.2956433825665578,0,0,0.11165793173974178,0,0,0,0,0.008308832928544037
Thalli,56,0,0.43750885736739714,0,0,0,0,0.030450018680993056,0.4789613367860962,0,0,0,0.012625774617039643
Palacodu,57,0.6071817122963304,0,0,0,0.3306326716072137,0,0.012396165316335804,0,0,0,0.005593313622342536,0.004217384069935619
Pennagaram,58,0,0.42199669722961647,0,0,0,0,0.016390614216701172,0.49312333629103816,0,0,0,0.009107266094843735
Dharmapuri,59,0,0,0,0.4573189577290666,0.4332889544006467,0,0.01683229518330084,0,0,0,0,0.0063477723360753175
Pappireddippatti,60,0.453870361699984,0.3917063254529399,0,0,0,0,0.004190101404009933,0,0,0,0.002003188507150435,0.006145877165428996
