ac_name,ac_no,ADMK,DMK,INC,PMK,BJP,DMDK,NTK,MDMK,CPI,VCK,IUML,CPM
Gummidipoondi,1,0.4167615279825331,0.30761658611230336,0,0.200864948588277,0.009759829809468714,0.03072107040886782,0.005831638270476048,0,0,0,0,0
Ponneri,2,0.4856057233060795,0.38777523678458675,0,0.0485003642839796,0.01045798591435279,0,0.008196389541002186,0,0,0.028161175422974177,0,0
Tiruttani,3,0.4183508760886475,0,0.31430382763287457,0.13307015453511323,0.02484162061787068,0.07035686505492134,0.004842429937637416,0,0,0,0,0
Thiruvallur,4,0.36527123213281354,0.3901834720040341,0,0.15484086809798103,0.00885359089234111,0,0.007035356180058572,0,0,0.033969473051337254,0,0
Poonamallee,5,0.4331567959931163,0.3841416410055545,0,0.06594940559280295,0.014400780042252289,0,0.01067557826048911,0.06271589711109352,0,0,0,0
Avadi,6,0.39915488379652203,0.3940021866643027,0,0.045905175598008365,0.026712763914129103,0,0.015886559401917764,0.08439342227738132,0,0,0,0
Maduravoyal,7,0.4012075769216845,0,0.36740990438339965,0.06970317421368721,0,0,0.0248635341536704,0,0,0,0,0.07889073480371847
Ambattur,8,0.41098366081382387,0,0.3347834796544036,0.07244199414715718,0.04164489269788183,0.07242457497212931,0.021965579710144928,0,0.001754981884057971,0,0,0
Madavaram,9,0.3975505920704977,0.4543126995586451,0,0.053010963165846726,0.019206007785113017,0,0.013757917221771523,0,0.03491764600808282,0,0,0
Thiruvottiyur,10,0.40693251114115997,0.4325190333629729,0,0.02117741146263568,0.01743124575794087,0.07083515292458736,0.020840677466708056,0,0,0,0,0
Dr.Radhakrishnan Nagar,11,0.5586759762089475,0.33142545182886535,0,0.017303106054075798,0.016826135677958796,0,0.01444128379737379,0,0,0.02410711720254001,0,0
Perambur,12,0.4238582581181995,0.4211075836994716,0,0.019530318368039177,0.024284374155320355,0,0.01715064049904336,0,0,0,0,0.054488793254222734
Kolathur,13,0.31830334862276305,0.542475699313164,0,0.017955177412838367,0.03142453121657913,0.037288780093637855,0.016796587209164153,0,0,0,0,0
Villivakkam,14,0.37746195463873566,0.439567175714933,0,0.027937688227925694,0.04289597825217878,0.05486261027158125,0.020002132139335306,0,0,0,0,0
Thiru-Vi-Ka-Nagar,15,0.4281568340051301,0.4525027482594357,0,0.015067790399413705,0,0,0.013418834737999267,0,0,0,0,0.0417882008061561
Egmore,16,0.36789488954283583,0.4564181207775521,0,0.015037095370331993,0.059344303062958514,0.05239772868570481,0.012019728934388858,0,0,0,0,0
Royapuram,17,0.45206646085311625,0,0.3863016615213279,0.017409533480187034,0.02916874800396341,0,0.01954682804195976,0,0,0,0,0
Harbour,18,0.3572113816458489,0.4036052111514035,0,0.009698958153456514,0.1281394501045684,0,0.008653274237801952,0.01889905792513287,0,0,0,0
Chepauk-Thiruvallikeni,19,0.3746075940556155,0.47319806494274874,0,0.01747816099954756,0.043719764730449306,0.03833223123238089,0.012598754045870601,0,0,0,0,0
Thousand Lights,20,0.37145987092968547,0.433459969242221,0,0.027864581504603133,0.05980211091058475,0,0.014571322233379915,0.05480923856941216,0,0,0,0
Anna Nagar,21,0.40947610126790424,0.4158537946100857,0,0.03172403262842008,0.051867207733099996,0,0.016942583141982957,0.037490970807077716,0,0,0,0
Virugampakkam,22,0.38507870362264285,0.37146242244906297,0,0.02302453031709068,0.1118659499588535,0.05678800506598031,0.017077256199697674,0,0,0,0,0
Saidapet,23,0.37510266757133165,0.4718482543537002,0,0.03519265792950755,0.03571045959361497,0,0.016218500398766798,0,0.031074051589710626,0,0,0
Thiyagarayanagar,24,0.3747446859461058,0.3525235593244214,0,0.035715794959924496,0.14007409389922668,0.04373793861193673,0.014593399163274217,0,0,0,0,0
Mylapore,25,0.4366561627340968,0,0.3423257243870571,0.03718648323213691,0.0750646888530218,0,0.01508979581379858,0,0,0,0,0
Velachery,26,0.3490559587971878,0.3996023290527683,0,0.03879285787536605,0.08245120269823726,0.055001652214537206,0.022851836237052905,0,0,0,0,0
Shozhinganallur,27,0.3821294370503649,0.42526837085655933,0,0.045111759720217415,0.04314471921943205,0,0.031362725161051444,0,0,0.04376375843585568,0,0
Alandur,28,0.3581063332672802,0.4464439600547473,0,0.03315253206265525,0.05901464075540215,0.05664133605533717,0.01809702438282557,0,0,0,0,0
Sriperumbudur,29,0.4277129862540336,0,0.3823335111924181,0.07700874897307552,0.016680641309042864,0,0.01457174073227126,0,0.0014567505992157262,0.05792701001939511,0,0
Pallavaram,30,0.36116463113644687,0.44939969108772154,0,0.0371769557809589,0.04689813856467254,0,0.017865957548446682,0.0560620053820799,0,0,0,0
Tambaram,31,0.371311423169255,0.4326867922924943,0,0.03242336045548214,0.043878396464914704,0.061859743791294004,0.022251492426334687,0,0,0,0,0
Chengalpattu,32,0.3458446435577762,0.45110780145251306,0,0.08367163916180227,0,0.06981511286202727,0.016154603761800668,0,0,0,0,0
Thiruporur,33,0.3490834787537101,0.34436042378232185,0,0.13982728533715155,0.012951113895227725,0,0.009127925186809252,0.1269706325413516,0,0,0,0
Cheyyur,34,0.3733252923717289,0.3751226837891849,0,0.10578594487211324,0.009217543486229853,0,0.005433561554743576,0,0,0.10599288138399139,0,0
Madurantakam,35,0.39766358029896726,0.41428724020260965,0,0.091157472214258,0,0.06618544066472153,0.004570522658661225,0,0,0,0,0
Uthiramerur,36,0.36904911632867643,0.4302043034013674,0,0.12185256548927671,0.003954259381304302,0.04620345821615612,0.0046686421194025345,0,0,0,0,0
Kancheepuram,37,0.37028360819590206,0.4039631969729421,0,0.1343167701863354,0.016268651388591418,0.040096023416863,0.007844292139644464,0,0,0,0,0
Arakkonam,38,0.41208648400336073,0.38693552384233654,0,0.12167479645311621,0.012215835252446492,0,0.006274140025749361,0,0,0.031509722499259554,0,0
Sholingur,39,0.3679026266914301,0,0.32179338968275023,0.24081321305386044,0.006955236326422317,0.029218625630140622,0.003913504908463783,0,0,0,0,0
Katpadi,40,0.3743632990386237,0.5089897115871141,0,0.07155787935008714,0,0,0.006381064822623264,0,0,0,0,0
Ranipet,41,0.38705686214887125,0.4284530937077309,0,0.12503800945780164,0.007035681706179027,0.03096329072778937,0.0041941470677669315,0,0,0,0,0
Arcot,42,0.35936025015733164,0.41389041850220265,0,0.17229291220893644,0.01301919446192574,0,0,0.026485800818124607,0,0,0,0
Vellore,43,0.3622977714722762,0.5153229526094851,0,0.030272245867853036,0.030429883406605598,0,0.009569182445016611,0,0,0.015121526865523503,0,0
Anaikattu,44,0.3760007047604365,0.4242767946614397,0,0.1360573058329938,0.009635396592923765,0,0.003980795278105075,0,0,0,0,0
Kilvaithinankuppam,45,0.45762773413385305,0.3986418602399138,0,0.0789585174246184,0.01337561884933364,0.025238158643312796,0.004769225182477334,0,0,0,0,0
Gudiyattam,46,0.4856144993538064,0.42679036658666175,0,0.03848954807475332,0,0,0.004492584159025171,0,0.016103555090569675,0,0,0
Vaniyambadi,47,0.40308622667083727,0,0,0.053771475573164654,0.01120842456469607,0,0.0036087072371088634,0,0,0,0.31894484412470026,0
Ambur,48,0.4915846655284805,0,0,0.028825081483780848,0.03575973925190129,0.04372497283873972,0.0035635573490609964,0,0,0,0,0
Jolarpet,49,0.4557277285679574,0.3950321397804334,0,0.0967285900466082,0.0056382673234521,0.01937774734377416,0.004793355569790815,0,0,0,0,0
Tirupattur,50,0.4112841101420916,0.4542827100307575,0,0.0687516517377687,0.010295597802556187,0.022311814353109204,0.0038854495257052567,0,0.0006297689535151791,0,0,0
Uthangarai,51,0.3874518315099437,0.37298467466891083,0,0.13011028923240467,0.008808743411436417,0,0.004030650662178323,0,0,0.07014328741639722,0,0
Bargur,52,0.4288616156889437,0.42363976687795124,0,0.09788041859871528,0.006769260220359893,0,0.0036425320117411835,0,0,0,0,0
Krishnagiri,53,0.4135397717050157,0.43798352757731446,0,0.07864382384103312,0,0,0.004927733242708354,0,0.0009695540051576274,0,0,0
Veppanahalli,54,0.43307383938962885,0.46011638432691065,0,0.028325358851674642,0.01016940385361438,0.024083796715375663,0.0030415104099314623,0,0.0013293676451571188,0,0,0
Hosur,55,0.41587875352528214,0,0.30918408593557617,0.047897375378082155,0.13404202926158407,0.03614720927747397,0.014036082162885459,0,0.0016447444838336486,0,0,0
Thalli,56,0.1659096910483232,0.3930763137047795,0,0.027742276208080275,0.015357803010298389,0,0.002286770530763137,0,0.3600950620543966,0,0,0
Palacode,57,0.403370292476969,0.37167513389522533,0,0.1674657116974895,0,0.026037390009906392,0.002664660666324093,0,0,0,0,0
Pennagaram,58,0.2589075061988128,0.384942520099181,0,0.2925438926040023,0,0,0.003446289478297894,0,0.028171412828411853,0,0,0
Dharmapuri,59,0.2958414467215485,0.34247816614933774,0,0.2734147564055602,0.007740654340743025,0.04505581368447435,0.005846459349515124,0,0.0012435173224854923,0,0,0
Pappireddippatti,60,0.35560516205677495,0.2687804784578978,0,0.29470573018960117,0,0.04522548070935168,0.002816712494131849,0,0,0,0,0
Harur,61,0.33959207716662987,0.2795239147127815,0,0.14593392028779703,0.010245405871648416,0,0.0032976742718293416,0,0,0.17688577529531804,0,0
Chengam,62,0.3956597577030746,0.45597733872615887,0,0.0718335765174451,0.004201461005784138,0.038055541033160174,0.003165354106167688,0,0,0,0,0
Tiruvannamalai,63,0.3244744265914387,0.5714902489881025,0,0.03883723782656691,0.00949343799828284,0.02489881025389427,0.00827180179075187,0,0,0,0,0
Kilpennathur,64,0.3264482707933113,0.502161825158272,0,0.10511082838707062,0.006128128057094486,0,0.003933355973784385,0,0.023382179261684753,0,0,0
Kalasapakkam,65,0.4540754012450298,0,0.3119569135742687,0.1281885730580709,0,0.053438359186264855,0.0041752080878515434,0,0,0,0,0
