ac_name,ac_no,ADMK,DMK,INC,DMDK,PMK,CPM,BJP,CPI,VCK,KNMK,IJK,BSP
Gummidipoondi,1,0,0,0,97708.0,68452.0,0,1883.0,0,0,0,0,835.0
Ponneri  (SC),2,93624.0,93624.0,0,0,0,0,1335.0,0,0,0,0,1347.0
Tiruttani,3,0,0,71988.0,95918.0,0,0,1450.0,0,0,0,1135.0,1859.0
Thiruvallur,4,91337.0,91337.0,0,0,0,0,1869.0,0,0,0,0,1039.0
Poonmallae  (SC),5,99097.0,99097.0,57678.0,0,0,0,0,0,0,0,1616.0,0
Avadi,6,110102.0,110102.0,66864.0,0,0,0,3795.0,0,0,0,0,1658.0
Maduravoyal,7,0,0,0,0,72833.0,96844.0,6381.0,0,0,0,2256.0,2040.0
Ambattur,8,99330.0,99330.0,0,0,0,0,3912.0,477.0,0,0,905.0,962.0
Madavaram,9,115468.0,115468.0,0,0,0,0,2599.0,408.0,0,0,0,1280.0
Thiruvottiyur,10,93944.0,93944.0,0,0,0,0,1719.0,0,0,0,0,464.0
Dr.Radhakrishnan Nagar,11,83777.0,83777.0,0,0,0,0,1300.0,0,0,0,678.0,252.0
Perambur,12,0,67245.0,0,0,0,84668.0,2758.0,0,0,0,753.0,912.0
Kolathur,13,65943.0,68677.0,0,0,0,0,0,0,0,0,285.0,4004.0
Villivakkam,14,68612.0,68612.0,0,0,0,0,1850.0,0,0,0,0,528.0
Thiru-Vi-Ka-Nagar  (SC),15,72887.0,72887.0,43546.0,0,0,0,3561.0,0,0,0,756.0,630.0
Egmore  (SC),16,0,51570.0,0,51772.0,0,0,4911.0,0,0,0,1132.0,669.0
Royapuram,17,65099.0,65099.0,43727.0,0,0,0,1683.0,0,0,0,0,235.0
harbour,18,53920.0,53920.0,0,0,0,0,4663.0,0,0,0,291.0,0
Chepauk-Thiruvallikeni,19,0,64191.0,0,0,0,0,5374.0,0,0,0,0,894.0
Thousand Lights,20,67522.0,67522.0,0,0,0,0,3098.0,0,0,0,849.0,319.0
Anna Nagar,21,88954.0,88954.0,52364.0,0,0,0,3769.0,0,0,0,722.0,614.0
Virugampakkam,22,0,57430.0,0,71524.0,0,0,7525.0,0,0,0,0,969.0
Saidapet,23,79856.0,79856.0,0,0,0,0,3018.0,0,0,0,0,481.0
Thiyagarayanagar,24,75883.0,75883.0,43421.0,0,0,0,4575.0,0,0,0,958.0,587.0
Mylapore,25,80063.0,80063.0,50859.0,0,0,0,6911.0,0,0,0,0,0
Velachery,26,82145.0,82145.0,0,0,50425.0,0,7048.0,0,0,0,1036.0,658.0
Shozhinganallur,27,145385.0,145385.0,0,0,0,0,7275.0,0,78413.0,0,1666.0,1983.0
Alandur,28,0,0,70783.0,76537.0,0,0,9628.0,0,0,0,1265.0,948.0
 Sriperumbudur  (SC),29,101751.0,101751.0,60819.0,0,0,0,2072.0,405.0,0,0,501.0,664.0
Pallavaram,30,105631.0,105631.0,0,0,0,0,0,0,0,0,1052.0,1074.0
Tambaram,31,91702.0,91702.0,0,0,0,0,3061.0,0,0,0,955.0,408.0
Chengalpattu,32,0,0,0,83297.0,83006.0,0,4073.0,0,0,0,3265.0,1167.0
Thiruporur,33,84169.0,84169.0,0,0,65881.0,0,1579.0,0,0,0,0,807.0
 Cheyyur  (SC),34,78307.0,78307.0,0,0,0,0,1387.0,0,51723.0,0,1030.0,1241.0
Madurantakam  (SC),35,79256.0,79256.0,60762.0,0,0,0,1630.0,0,0,0,508.0,784.0
Uthiramerur,36,86912.0,86912.0,0,0,0,0,1407.0,0,0,0,214.0,803.0
Kancheepuram,37,102710.0,102710.0,0,0,76993.0,0,2441.0,0,0,0,1201.0,899.0
Arakkonam  (SC),38,79409.0,79409.0,0,0,0,0,0,0,53172.0,0,1755.0,2030.0
Sholingur,39,0,0,36957.0,69963.0,0,0,0,0,0,0,0,1076.0
Katpadi,40,72091.0,75064.0,0,0,0,0,1539.0,0,0,0,519.0,0
Ranipet,41,83834.0,83834.0,0,0,0,0,0,0,0,0,0,842.0
Arcot,42,93258.0,93258.0,0,0,74005.0,0,2046.0,0,0,0,0,497.0
Vellore,43,71522.0,71522.0,56346.0,0,0,0,4334.0,0,0,0,0,0
Anaikattu,44,0,0,0,52330.0,80233.0,0,0,0,0,0,1369.0,1018.0
Kilvaithinankuppam  (SC),45,72002.0,72002.0,0,0,0,0,0,0,0,0,1111.0,1226.0
Gudiyattam  (SC),46,0,73574.0,0,0,0,0,0,79416.0,0,0,1687.0,1335.0
Vaniyambadi,47,80563.0,80563.0,0,0,0,0,0,0,0,0,0,1149.0
Ambur,48,0,0,55270.0,0,0,0,6047.0,0,0,0,1074.0,1468.0
Jolarpet,49,86273.0,86273.0,0,0,63337.0,0,0,0,0,0,0,956.0
Tirupattur,50,82895.0,82895.0,0,0,0,0,1087.0,0,0,0,740.0,543.0
Uthangarai  (SC),51,90381.0,90381.0,0,0,0,0,2549.0,0,51223.0,0,0,0
Bargur,52,88711.0,88711.0,0,0,59271.0,0,2314.0,0,0,0,0,0
Krishnagiri,53,89776.0,89776.0,60679.0,0,0,0,3025.0,0,0,0,0,0
Veppanahalli,54,0,71471.0,0,63867.0,0,0,5035.0,0,0,0,0,2732.0
Hosur,55,0,0,65034.0,50882.0,0,0,19217.0,0,0,0,0,1430.0
Thalli,56,0,67918.0,0,0,0,0,4727.0,74353.0,0,0,0,1960.0
Palacodu,57,94877.0,94877.0,0,0,51664.0,0,1937.0,0,0,0,874.0,659.0
Pennagaram,58,0,68485.0,0,0,0,0,2660.0,80028.0,0,0,0,1478.0
Dharmapuri,59,0,0,0,76943.0,72900.0,0,2832.0,0,0,0,0,1068.0
Pappireddippatti,60,76582.0,76582.0,0,0,0,0,707.0,0,0,0,338.0,1037.0
Harur  (SC),61,0,0,0,0,0,77703.0,3777.0,0,51200.0,0,1974.0,1216.0
Chengam  (SC),62,0,0,72225.0,83722.0,0,0,4465.0,0,0,0,1670.0,1636.0
Tiruvannamalai,63,79676.0,84802.0,0,0,0,0,1519.0,0,0,0,810.0,955.0
Kilpennathur,64,83663.0,83663.0,0,0,0,0,1811.0,0,0,0,408.0,1203.0
Kalasapakkam,65,91833.0,91833.0,53599.0,0,0,0,1323.0,0,0,0,1329.0,1656.0
Polur,66,92391.0,92391.0,0,0,63846.0,0,1360.0,0,0,0,2320.0,674.0
Arani,67,0,81001.0,0,88967.0,0,0,1639.0,0,0,0,0,1459.0
Cheyyar,68,96180.0,96180.0,70717.0,0,0,0,2179.0,0,0,0,586.0,858.0
Vandavasi  (SC),69,84529.0,84529.0,0,0,0,0,1090.0,0,0,0,0,1112.0
Gingee,70,0,0,0,75215.0,77026.0,0,1362.0,0,0,0,1388.0,1010.0
Mailam,71,81656.0,81656.0,0,0,61575.0,0,1844.0,0,0,0,0,1191.0
Tindivanam  (SC),72,80553.0,80553.0,0,0,65016.0,0,1010.0,0,0,0,1125.0,684.0
Vanur  (SC),73,88834.0,88834.0,0,0,0,0,1520.0,0,0,0,0,1193.0
Villupuram,74,90304.0,90304.0,0,0,0,0,1100.0,0,0,0,0,0
Vikravandi,75,0,63759.0,0,0,0,78656.0,0,0,0,0,0,1118.0
Tirukkoyilur,76,0,69438.0,0,78229.0,0,0,0,0,0,0,3280.0,1271.0
Ulundurpettai,77,114794.0,114794.0,0,0,0,0,2662.0,1751.0,61286.0,0,0,0
Rishivandiyam,78,0,0,60369.0,91164.0,0,0,1793.0,0,0,0,3227.0,707.0
Sankarapuram,79,87522.0,87522.0,0,0,0,0,1874.0,0,0,0,579.0,1492.0
 Kallakurichi  (SC),80,111249.0,111249.0,0,0,0,0,1192.0,0,51251.0,0,3246.0,1481.0
 Gangavalli  (SC),81,0,59457.0,0,72922.0,0,0,1787.0,0,0,0,4048.0,602.0
Attur  (SC),82,88036.0,88036.0,58180.0,0,0,0,1690.0,0,0,0,2993.0,1366.0
Yercaud  (ST),83,104221.0,104221.0,0,0,0,0,2266.0,0,0,0,2185.0,0
Omalur,84,112102.0,112102.0,0,0,65558.0,0,2139.0,0,0,0,1863.0,907.0
Mettur,85,0,0,0,75672.0,73078.0,0,2286.0,0,0,0,2487.0,0
