ac_name,ac_no,ADMK,DMK,INC,PMK,BJP,DMDK,NTK,MDMK,CPI,VCK,IUML,CPM
Gummidipoondi,1,89332.0,65937.0,0,43055.0,2092.0,6585.0,1250.0,0,0,0,0,0
Ponneri,2,95979.0,76643.0,0,9586.0,2067.0,0,1620.0,0,0,5566.0,0,0
Tiruttani,3,93045.0,0,69904.0,29596.0,5525.0,15648.0,1077.0,0,0,0,0,0
Thiruvallur,4,75335.0,80473.0,0,31935.0,1826.0,0,1451.0,0,0,7006.0,0,0
Poonamallee,5,103952.0,92189.0,0,15827.0,3456.0,0,2562.0,15051.0,0,0,0,0
Avadi,6,108064.0,106669.0,0,12428.0,7232.0,0,4301.0,22848.0,0,0,0,0
Maduravoyal,7,99739.0,0,91337.0,17328.0,0,0,6181.0,0,0,0,0,19612.0
Ambattur,8,94375.0,0,76877.0,16635.0,9563.0,16631.0,5044.0,0,403.0,0,0,0
Madavaram,9,106829.0,122082.0,0,14245.0,5161.0,0,3697.0,0,9383.0,0,0,0
Thiruvottiyur,10,77342.0,82205.0,0,4025.0,3313.0,13463.0,3961.0,0,0,0,0,0
Dr.Radhakrishnan Nagar,11,97218.0,57673.0,0,3011.0,2928.0,0,2513.0,0,0,4195.0,0,0
Perambur,12,79974.0,79455.0,0,3685.0,4582.0,0,3236.0,0,0,0,0,10281.0
Kolathur,13,53573.0,91303.0,0,3022.0,5289.0,6276.0,2827.0,0,0,0,0,0
Villivakkam,14,56651.0,65972.0,0,4193.0,6438.0,8234.0,3002.0,0,0,0,0,0
Thiru-Vi-Ka-Nagar,15,58422.0,61744.0,0,2056.0,0,0,1831.0,0,0,0,0,5702.0
Egmore,16,44381.0,55060.0,0,1814.0,7159.0,6321.0,1450.0,0,0,0,0,0
Royapuram,17,55205.0,0,47174.0,2126.0,3562.0,0,2387.0,0,0,0,0,0
Harbour,18,37235.0,42071.0,0,1011.0,13357.0,0,902.0,1970.0,0,0,0,0
Chepauk-Thiruvallikeni,19,53818.0,67982.0,0,2511.0,6281.0,5507.0,1810.0,0,0,0,0,0
Thousand Lights,20,52897.0,61726.0,0,3968.0,8516.0,0,2075.0,7805.0,0,0,0,0
Anna Nagar,21,69726.0,70812.0,0,5402.0,8832.0,0,2885.0,6384.0,0,0,0,0
Virugampakkam,22,65979.0,63646.0,0,3945.0,19167.0,9730.0,2926.0,0,0,0,0,0
Saidapet,23,63024.0,79279.0,0,5913.0,6000.0,0,2725.0,0,5221.0,0,0,0
Thiyagarayanagar,24,53207.0,50052.0,0,5071.0,19888.0,6210.0,2072.0,0,0,0,0,0
Mylapore,25,68176.0,0,53448.0,5806.0,11720.0,0,2356.0,0,0,0,0,0
Velachery,26,61267.0,70139.0,0,6809.0,14472.0,9654.0,4011.0,0,0,0,0,0
Shozhinganallur,27,132101.0,147014.0,0,15595.0,14915.0,0,10842.0,0,0,15129.0,0,0
Alandur,28,77708.0,96877.0,0,7194.0,12806.0,12291.0,3927.0,0,0,0,0,0
Sriperumbudur,29,101001.0,0,90285.0,18185.0,3939.0,0,3441.0,0,344.0,13679.0,0,0
Pallavaram,30,90726.0,112891.0,0,9339.0,11781.0,0,4488.0,14083.0,0,0,0,0
Tambaram,31,87390.0,101835.0,0,7631.0,10327.0,14559.0,5237.0,0,0,0,0,0
Chengalpattu,32,86383.0,112675.0,0,20899.0,0,17438.0,4035.0,0,0,0,0,0
Thiruporur,33,70215.0,69265.0,0,28125.0,2605.0,0,1836.0,25539.0,0,0,0,0
Cheyyur,34,63142.0,63446.0,0,17892.0,1559.0,0,919.0,0,0,17927.0,0,0
Madurantakam,35,70736.0,73693.0,0,16215.0,0,11773.0,813.0,0,0,0,0,0
Uthiramerur,36,73357.0,85513.0,0,24221.0,786.0,9184.0,928.0,0,0,0,0,0
Kancheepuram,37,82985.0,90533.0,0,30102.0,3646.0,8986.0,1758.0,0,0,0,0,0
Arakkonam,38,68176.0,64015.0,0,20130.0,2021.0,0,1038.0,0,0,5213.0,0,0
Sholingur,39,77651.0,0,67919.0,50827.0,1468.0,6167.0,826.0,0,0,0,0,0
Katpadi,40,66588.0,90534.0,0,12728.0,0,0,1135.0,0,0,0,0,0
Ranipet,41,73828.0,81724.0,0,23850.0,1342.0,5906.0,800.0,0,0,0,0,0
Arcot,42,73091.0,84182.0,0,35043.0,2648.0,0,0,5387.0,0,0,0,0
Vellore,43,62054.0,88264.0,0,5185.0,5212.0,0,1639.0,0,0,2590.0,0,0
Anaikattu,44,68290.0,77058.0,0,24711.0,1750.0,0,723.0,0,0,0,0,0
Kilvaithinankuppam,45,75612.0,65866.0,0,13046.0,2210.0,4170.0,788.0,0,0,0,0,0
Gudiyattam,46,94689.0,83219.0,0,7505.0,0,0,876.0,0,3140.0,0,0,0
Vaniyambadi,47,69588.0,0,0,9283.0,1935.0,0,623.0,0,0,0,55062.0,0
Ambur,48,79182.0,0,0,4643.0,5760.0,7043.0,574.0,0,0,0,0,0
Jolarpet,49,82525.0,71534.0,0,17516.0,1021.0,3509.0,868.0,0,0,0,0,0
Tirupattur,50,73144.0,80791.0,0,12227.0,1831.0,3968.0,691.0,0,112.0,0,0,0
Uthangarai,51,69980.0,67367.0,0,23500.0,1591.0,0,728.0,0,0,12669.0,0,0
Bargur,52,80650.0,79668.0,0,18407.0,1273.0,0,685.0,0,0,0,0,0
Krishnagiri,53,82746.0,87637.0,0,15736.0,0,0,986.0,0,194.0,0,0,0
Veppanahalli,54,83724.0,88952.0,0,5476.0,1966.0,4656.0,588.0,0,257.0,0,0,0
Hosur,55,89510.0,0,66546.0,10309.0,28850.0,7780.0,3021.0,0,354.0,0,0,0
Thalli,56,31415.0,74429.0,0,5253.0,2908.0,0,433.0,0,68184.0,0,0,0
Palacode,57,76143.0,70160.0,0,31612.0,0,4915.0,503.0,0,0,0,0,0
Pennagaram,58,51687.0,76848.0,0,58402.0,0,0,688.0,0,5624.0,0,0,0
Dharmapuri,59,61380.0,71056.0,0,56727.0,1606.0,9348.0,1213.0,0,258.0,0,0,0
Pappireddippatti,60,74234.0,56109.0,0,61521.0,0,9441.0,588.0,0,0,0,0,0
Harur,61,64568.0,53147.0,0,27747.0,1948.0,0,627.0,0,0,33632.0,0,0
Chengam,62,83248.0,95939.0,0,15114.0,884.0,8007.0,666.0,0,0,0,0,0
Tiruvannamalai,63,66136.0,116484.0,0,7916.0,1935.0,5075.0,1686.0,0,0,0,0,0
Kilpennathur,64,64404.0,99070.0,0,20737.0,1209.0,0,776.0,0,4613.0,0,0,0
Kalasapakkam,65,84394.0,0,57980.0,23825.0,0,9932.0,776.0,0,0,0,0,0
Polur,66,58315.0,66588.0,0,17184.0,1232.0,0,624.0,0,0,0,0,5000.0
Arani,67,94074.0,86747.0,0,12877.0,1304.0,7025.0,872.0,0,0,0,0,0
Cheyyar,68,77766.0,0,69239.0,37491.0,2388.0,10855.0,974.0,0,0,0,0,0
Vandavasi,69,62138.0,80206.0,0,24277.0,0,0,685.0,0,0,7745.0,0,0
Gingee,70,66383.0,88440.0,0,28515.0,1443.0,0,581.0,10672.0,0,0,0,0
Mailam,71,58574.0,70880.0,0,25711.0,0,0,672.0,0,0,10866.0,0,0
Tindivanam,72,61778.0,61879.0,0,29848.0,1509.0,14928.0,908.0,0,0,0,0,0
Vanur,73,64167.0,53944.0,0,27240.0,1716.0,0,797.0,0,0,23873.0,0,0
Villupuram,74,69421.0,0,0,36456.0,2188.0,24907.0,1231.0,0,0,0,47130.0,0
Vikravandi,75,56845.0,63757.0,0,41428.0,1291.0,0,594.0,0,0,0,0,9981.0
Tirukkoyilur,76,52780.0,93837.0,0,18822.0,1178.0,0,732.0,0,0,0,0,0
Ulundurpettai,77,81973.0,77809.0,0,20233.0,0,34447.0,524.0,0,274.0,0,0,0
Rishivandiyam,78,72104.0,92607.0,0,8148.0,0,14239.0,782.0,0,0,0,0,0
Sankarapuram,79,76392.0,90920.0,0,13612.0,0,13343.0,663.0,0,0,0,0,0
Kallakurichi,80,90108.0,86004.0,0,9736.0,0,0,1181.0,0,0,17492.0,0,0
Gangavalli,81,74301.0,72039.0,0,10715.0,2023.0,7114.0,921.0,0,0,0,0,0
Attur,82,82827.0,0,65493.0,18363.0,0,0,1531.0,0,0,8532.0,0,0
Yercaud,83,100562.0,83168.0,0,17998.0,2225.0,10455.0,1265.0,0,0,0,0,0
Omalur,84,89169.0,69213.0,0,48721.0,0,9744.0,944.0,0,0,0,0,0
Mettur,85,72751.0,66469.0,0,49939.0,1428.0,5892.0,981.0,0,0,0,0,0
